concept_id,domain_category,source,metaphor,mono_leakage,mono_leaked_words,mono_explanation,imaw_leakage,imaw_leaked_words,imaw_explanation
1,infrastructure,Kubernetes Cluster Architecture: 1. Control Plane manages worker nodes and Pods.,Running a massive 19th-century luxury hotel,YES,resources,"The word 'resources' is a direct leak from the source domain's vocabulary. In the sentence, 'The wing must possess the resources required by the guest party,' the term is used in its technical sense of allocatable capacity (like CPU/Memory), rather than using a term native to the hotel metaphor (e.g., 'amenities', 'space', 'staffing'). This is especially noticeable as the metaphor had previously established specific equivalents like 'beds' and 'luggage space'.",YES,Management System; API Gateway; Data Store; Assignment Coordinator; State Regulator; Execution Nodes; Node Agent; Deployable Unit; Required Resource,"The generated output explicitly includes source-domain technical jargon within parenthetical asides for almost every metaphorical role. Terms like 'API Gateway', 'Execution Nodes', 'Node Agent', and 'Deployable Unit' are lifted directly from computing and the specific Kubernetes source, breaking the immersion of the 19th-century hotel metaphor."
2,infrastructure,"DNS Resolution: A client queries a recursive resolver, which checks its cache. O",A medieval postal courier network delivering sealed letters,YES,Com; Org; Net,"The metaphor, set in a medieval kingdom, explicitly names duchies after Top-Level Domains (TLDs) from the DNS source domain: 'the Duchy of Com, the Duchy of Org, the Duchy of Net'. These are not generic terms but specific technical examples that have leaked into the target metaphor.",NO,,"No source-domain vocabulary detected. The metaphor successfully translates technical concepts like 'cache', 'TTL', and 'resolver' into domain-appropriate terms like 'Postmaster's Archive', 'Wax Seal's Integrity', and 'Local Postmaster' without using the original jargon."
3,infrastructure,CI/CD Pipeline: Code is committed to a repository. A build server detects change,"A sushi chef's omakase preparation — course by course, each inspected before serving",YES,test,"The word 'test' is a core piece of vocabulary from the source CI/CD domain (unit tests, integration tests). While 'test' can be a generic word, its explicit use in the metaphor directly corresponds to the formal testing stages of the pipeline ('It is a test of togetherness' for integration testing, 'passed every test' referring to all checks). A more domain-appropriate synonym like 'trial,' 'check,' or 'evaluation' would have avoided this leakage.",YES,Artifact; Gate,"The term 'Artifact' is specific CI/CD vocabulary for a built software package, and was used directly in the metaphor as 'Output Artifact'. The term 'Gate' was also lifted directly from the source phrase 'manual approval gate' and used as 'Authorization Gate'."
4,infrastructure,Load Balancer Architecture: Incoming traffic hits a load balancer that distribut,A maître d' seating guests across multiple dining rooms in a grand restaurant,YES,routed,"The word 'routed' is used to describe how guests are sent to other dining rooms. This is a direct vocabulary lift from the source domain, where 'routing' traffic is a core technical concept. More metaphorical language like 'guided' or 'directed' would have been more appropriate for the restaurant domain.",NO,,No source-domain vocabulary detected.
5,infrastructure,Docker Containerization: An application and its dependencies are packaged into a,An astronaut's self-contained spacesuit system on a space station,YES,layer; layering; instance,"The terms 'layer' and 'layering' are used to describe how the 'Mission Pack' is assembled. This is a direct reference to how Docker images are built from a Dockerfile 'layer by layer', a specific technical concept from the source domain. Additionally, describing the 'Live Mission' as a 'running, active, and independent instance' directly mirrors the source's technical phrasing 'runtime instances of images'.",NO,,No source-domain vocabulary detected.
6,finance,Options Pricing (Black-Scholes): A call option gives the holder the right to buy,A farmer's right to harvest fruit from a neighbor's tree before winter,YES,value of time,"The source domain uses the specific technical term 'time value'. The generated output uses the phrase 'value of time', which is a direct, non-metaphorical reference to this concept. This leaks the source-domain terminology into the explanation instead of using a purely metaphorical equivalent, such as the 'hopeful value' or 'what-if value' that were also used in the text.",YES,option; transaction; expires; downside; upside; decay,"The generated text leaks several terms from the source financial domain. It uses the word 'option' itself, which is the core concept being explained. It also uses 'expires' and 'decay,' which are direct lifts from 'expiration' and 'time decay.' Furthermore, it employs financial jargon like 'transaction,' 'downside,' and 'upside,' which are not native to the farming metaphor."
7,finance,Fractional Reserve Banking: Banks accept deposits and are required to hold a fra,"A village bakery that lends rising dough to neighbors, who return it with interest in bread",YES,deposit; multiplies,"The output uses the word 'deposit', which is a core technical term from the source domain of banking, when describing Finn bringing his new starter to the pantry. It also uses the word 'multiplies', a direct reference to the 'money multiplier' effect from the source domain, to describe how the starter in the village increases.",YES,in reserve,"The phrase 'in reserve' is used to describe the portion of Dough Starter that the Bakery must keep. This directly uses the key technical term 'reserves' from the source domain of Fractional Reserve Banking, which is a clear semantic leak."
8,finance,Blockchain Consensus (Proof of Work): Miners compete to solve a cryptographic ha,Gold prospectors competing to find nuggets that unlock a communal vault,YES,the longest chain,"The phrase 'the longest chain is the only chain' is a direct, verbatim rule from the blockchain source domain. While the metaphor successfully translates other concepts, this specific technical term was copied directly instead of being explained using the metaphor's own vocabulary, such as 'the Vault Chain with the most boxes welded to it'.",YES,fork; The Longest Chain,"The word 'fork' is a specific technical term from the blockchain source domain used to describe a divergence in the chain. The phrase 'The Longest Chain' is also a canonical term from the source domain describing the rule for resolving consensus; using the exact phrase is a leak, even if 'chain' is used metaphorically elsewhere."
9,finance,"Supply and Demand Equilibrium: As price rises, quantity demanded falls and quant","Two children on a seesaw in a playground — one represents buyers, the other sellers",NO,,"No source-domain vocabulary detected. The output successfully translates all technical economic terms (e.g., 'price', 'equilibrium', 'shortage', 'surplus', 'price ceiling') into metaphorical equivalents within the playground domain (e.g., 'Excitement Level', 'balance', 'unhappy line of Wanters', 'bored Givers', 'Safety Bar').",YES,Demand; Supply; tendency to change,"The output introduces metaphorical terms like 'enthusiasm' but then immediately and repeatedly uses the explicit source-domain technical jargon 'Demand' and 'Supply'. Additionally, the phrase 'no tendency to change' is lifted directly from the technical definition of equilibrium in the source text, rather than being translated into the playground metaphor."
10,finance,"Venture Capital Funding Rounds: Startups raise capital in stages — seed, Series ",A traveling theater troupe recruiting patrons to fund increasingly grand performances,NO,,No source-domain vocabulary detected.,YES,dilution; liquidated,"The output explicitly uses the term 'dilution', which is specific technical jargon from the venture capital source domain referring to the reduction of ownership percentage. It also uses the word 'liquidated', which is directly derived from 'liquidation event', another key technical term from the source."
