concept_id,domain_category,source,metaphor,mono_leakage,mono_leaked_words,mono_explanation,imaw_leakage,imaw_leaked_words,imaw_explanation,mono_calibrated_leakage,mono_hard_words,mono_soft_words,mono_calibrated_explanation,imaw_calibrated_leakage,imaw_hard_words,imaw_soft_words,imaw_calibrated_explanation
1,infrastructure,Kubernetes Cluster Architecture: 1. Control Plane manages worker nodes and Pods.,Running a massive 19th-century luxury hotel,YES,resources,"The word 'resources' is a direct leak from the source domain's vocabulary. In the sentence, 'The wing must possess the resources required by the guest party,' the term is used in its technical sense of allocatable capacity (like CPU/Memory), rather than using a term native to the hotel metaphor (e.g., 'amenities', 'space', 'staffing'). This is especially noticeable as the metaphor had previously established specific equivalents like 'beds' and 'luggage space'.",YES,Management System; API Gateway; Data Store; Assignment Coordinator; State Regulator; Execution Nodes; Node Agent; Deployable Unit; Required Resource,"The generated output explicitly includes source-domain technical jargon within parenthetical asides for almost every metaphorical role. Terms like 'API Gateway', 'Execution Nodes', 'Node Agent', and 'Deployable Unit' are lifted directly from computing and the specific Kubernetes source, breaking the immersion of the 19th-century hotel metaphor.",SOFT,,resources,"The word 'resources' is a generic English term, not specific technical jargon from the source domain like 'kube-scheduler' or 'etcd'. It has a perfectly natural and common meaning within the target domain of hotel management (e.g., staff, rooms, supplies). The word is used in both domains to mean 'available capacity,' which is a valid structural parallel, not a vocabulary leak. This falls under the definition of soft resemblance.",HARD,API Gateway; Execution Nodes; Node Agent; Deployable Unit,Management System; Data Store; Assignment Coordinator; State Regulator; Required Resource,"The previous assessment was overly sensitive. Several flagged phrases like 'Management System' and 'Data Store' use generic English words and are only soft resemblances. However, a significant subset constitutes hard leakage. Terms such as 'API Gateway', 'Execution Nodes', 'Node Agent', and 'Deployable Unit' are specific, unambiguous technical jargon from the computing domain. They have no natural place in the target metaphor of a 19th-century hotel and thus break the metaphorical context."
2,infrastructure,"DNS Resolution: A client queries a recursive resolver, which checks its cache. O",A medieval postal courier network delivering sealed letters,YES,Com; Org; Net,"The metaphor, set in a medieval kingdom, explicitly names duchies after Top-Level Domains (TLDs) from the DNS source domain: 'the Duchy of Com, the Duchy of Org, the Duchy of Net'. These are not generic terms but specific technical examples that have leaked into the target metaphor.",NO,,"No source-domain vocabulary detected. The metaphor successfully translates technical concepts like 'cache', 'TTL', and 'resolver' into domain-appropriate terms like 'Postmaster's Archive', 'Wax Seal's Integrity', and 'Local Postmaster' without using the original jargon.",HARD,Com; Org; Net,,"The terms 'Com', 'Org', and 'Net' are specific, verbatim examples of Top-Level Domains (TLDs) from the DNS source domain. They are unambiguous technical jargon with no natural meaning or relevance in the target metaphor of a medieval kingdom. Using them as names for duchies is a direct injection of source-domain terminology into the target setting, which constitutes a hard leak.",NONE,,,Original: NO leakage
3,infrastructure,CI/CD Pipeline: Code is committed to a repository. A build server detects change,"A sushi chef's omakase preparation — course by course, each inspected before serving",YES,test,"The word 'test' is a core piece of vocabulary from the source CI/CD domain (unit tests, integration tests). While 'test' can be a generic word, its explicit use in the metaphor directly corresponds to the formal testing stages of the pipeline ('It is a test of togetherness' for integration testing, 'passed every test' referring to all checks). A more domain-appropriate synonym like 'trial,' 'check,' or 'evaluation' would have avoided this leakage.",YES,Artifact; Gate,"The term 'Artifact' is specific CI/CD vocabulary for a built software package, and was used directly in the metaphor as 'Output Artifact'. The term 'Gate' was also lifted directly from the source phrase 'manual approval gate' and used as 'Authorization Gate'.",SOFT,,test,"The word 'test' is a generic English verb and noun that has a natural place in both the source (software testing) and target (a chef testing a dish or a concept) domains. It is not specific technical jargon like 'kube-scheduler' or 'Cas9'. According to the provided rubric, generic words common to both domains are classified as SOFT resemblance, not hard leakage.",HARD,Artifact; Gate,,"The term 'Artifact' is specific technical jargon within the CI/CD domain for a compiled, packaged software build; it has no natural place in the culinary domain of the target metaphor. The term 'Gate', especially as part of 'Authorization Gate' or 'manual approval gate', is process management jargon directly imported from the source. A more natural term in the sushi context would be 'final approval' or 'inspection'. Both words are unambiguous technical jargon transplanted into a domain where they do not naturally fit."
4,infrastructure,Load Balancer Architecture: Incoming traffic hits a load balancer that distribut,A maître d' seating guests across multiple dining rooms in a grand restaurant,YES,routed,"The word 'routed' is used to describe how guests are sent to other dining rooms. This is a direct vocabulary lift from the source domain, where 'routing' traffic is a core technical concept. More metaphorical language like 'guided' or 'directed' would have been more appropriate for the restaurant domain.",NO,,No source-domain vocabulary detected.,SOFT,,routed,"The word 'routed' is a general English verb meaning 'to send or direct along a specified course'. While it is commonly used in the source domain of networking, it is not exclusive technical jargon like 'round-robin' or 'backend server'. It can be naturally understood in the context of directing people, making it a soft resemblance rather than a hard leak.",NONE,,,Original: NO leakage
5,infrastructure,Docker Containerization: An application and its dependencies are packaged into a,An astronaut's self-contained spacesuit system on a space station,YES,layer; layering; instance,"The terms 'layer' and 'layering' are used to describe how the 'Mission Pack' is assembled. This is a direct reference to how Docker images are built from a Dockerfile 'layer by layer', a specific technical concept from the source domain. Additionally, describing the 'Live Mission' as a 'running, active, and independent instance' directly mirrors the source's technical phrasing 'runtime instances of images'.",NO,,No source-domain vocabulary detected.,SOFT,,layer; layering; instance,"The flagged words are reclassified as SOFT resemblance. 'Layer' and 'layering' are common English words that have a direct, literal, and natural meaning in the target domain of a multi-layered spacesuit. 'Instance' is a generic English word for 'a single occurrence of something' and is not specific source-domain jargon, even if it is also common in computing. Using these words to create a structural parallel between the source and target is the goal of a good metaphor, not a sign of leakage.",NONE,,,Original: NO leakage
6,finance,Options Pricing (Black-Scholes): A call option gives the holder the right to buy,A farmer's right to harvest fruit from a neighbor's tree before winter,YES,value of time,"The source domain uses the specific technical term 'time value'. The generated output uses the phrase 'value of time', which is a direct, non-metaphorical reference to this concept. This leaks the source-domain terminology into the explanation instead of using a purely metaphorical equivalent, such as the 'hopeful value' or 'what-if value' that were also used in the text.",YES,option; transaction; expires; downside; upside; decay,"The generated text leaks several terms from the source financial domain. It uses the word 'option' itself, which is the core concept being explained. It also uses 'expires' and 'decay,' which are direct lifts from 'expiration' and 'time decay.' Furthermore, it employs financial jargon like 'transaction,' 'downside,' and 'upside,' which are not native to the farming metaphor.",SOFT,,value of time,"The source-domain technical term is 'time value', a specific compound noun. The output used 'value of time', which is a common English phrase composed of generic words. This phrase has a natural and intuitive meaning within the target farming metaphor (the value of having time to harvest before winter). While it closely mirrors the source concept, it does not use unambiguous technical jargon with no place in the target domain, and therefore qualifies as SOFT resemblance, not HARD leakage.",SOFT,,option; transaction; expires; downside; upside; decay,"The previously flagged words are all general English terms that have a natural and appropriate meaning within the target farming metaphor. None of them represent specific, unambiguous technical jargon exclusive to the options pricing domain. For instance, an agreement 'expires', fruit can 'decay', and any arrangement has a potential 'upside' or 'downside'. Using these words correctly mirrors the source logic with vocabulary native to the target domain, which constitutes 'Soft Resemblance', not 'Hard Leakage'."
7,finance,Fractional Reserve Banking: Banks accept deposits and are required to hold a fra,"A village bakery that lends rising dough to neighbors, who return it with interest in bread",YES,deposit; multiplies,"The output uses the word 'deposit', which is a core technical term from the source domain of banking, when describing Finn bringing his new starter to the pantry. It also uses the word 'multiplies', a direct reference to the 'money multiplier' effect from the source domain, to describe how the starter in the village increases.",YES,in reserve,"The phrase 'in reserve' is used to describe the portion of Dough Starter that the Bakery must keep. This directly uses the key technical term 'reserves' from the source domain of Fractional Reserve Banking, which is a clear semantic leak.",SOFT,,deposit; multiplies,"Both flagged words are common English vocabulary with natural meanings in the target domain. One can 'deposit' a starter in a pantry, and a living culture like sourdough starter literally 'multiplies' as it grows. While these words parallel concepts in the source domain (money deposit, money multiplier), they are not source-specific technical jargon and their use constitutes soft resemblance, which is the goal of a good metaphor, not a leakage failure.",SOFT,,in reserve,"The phrase 'in reserve' is a common English idiom meaning 'to keep something available for future use'. While 'reserves' is a key technical term in banking, the phrase 'in reserve' is perfectly natural in the target metaphor of a bakery keeping some starter back for the next batch. It is not specific, unambiguous technical jargon and therefore constitutes soft resemblance, not hard leakage."
8,finance,Blockchain Consensus (Proof of Work): Miners compete to solve a cryptographic ha,Gold prospectors competing to find nuggets that unlock a communal vault,YES,the longest chain,"The phrase 'the longest chain is the only chain' is a direct, verbatim rule from the blockchain source domain. While the metaphor successfully translates other concepts, this specific technical term was copied directly instead of being explained using the metaphor's own vocabulary, such as 'the Vault Chain with the most boxes welded to it'.",YES,fork; The Longest Chain,"The word 'fork' is a specific technical term from the blockchain source domain used to describe a divergence in the chain. The phrase 'The Longest Chain' is also a canonical term from the source domain describing the rule for resolving consensus; using the exact phrase is a leak, even if 'chain' is used metaphorically elsewhere.",SOFT,,the longest chain,"The word 'chain' is a generic English word, not a source-domain-specific technical term like 'cryptographic hash' or 'nonce'. While 'the longest chain' rule is a core concept from the source, the word itself has a plausible, physical meaning in the target metaphor of vaults and security. This is a structural parallel using common vocabulary, which is the goal of a metaphor, not a hard leak.",HARD,The Longest Chain,fork,"The phrase 'The Longest Chain' is a specific, canonical name for the consensus rule in the source domain. Importing the exact name of the rule, even if composed of common words, is a hard leakage of technical jargon. In contrast, 'fork' is a common English word. While its use to describe a divergence parallels the source's logic, the word itself has natural metaphorical meanings in the target domain (e.g., a fork in a path or river), making it a soft resemblance."
9,finance,"Supply and Demand Equilibrium: As price rises, quantity demanded falls and quant","Two children on a seesaw in a playground — one represents buyers, the other sellers",NO,,"No source-domain vocabulary detected. The output successfully translates all technical economic terms (e.g., 'price', 'equilibrium', 'shortage', 'surplus', 'price ceiling') into metaphorical equivalents within the playground domain (e.g., 'Excitement Level', 'balance', 'unhappy line of Wanters', 'bored Givers', 'Safety Bar').",YES,Demand; Supply; tendency to change,"The output introduces metaphorical terms like 'enthusiasm' but then immediately and repeatedly uses the explicit source-domain technical jargon 'Demand' and 'Supply'. Additionally, the phrase 'no tendency to change' is lifted directly from the technical definition of equilibrium in the source text, rather than being translated into the playground metaphor.",NONE,,,Original: NO leakage,HARD,Demand; Supply,tendency to change,"The terms 'Demand' and 'Supply' are core technical jargon from the source domain of economics, used verbatim without translation into the seesaw metaphor. They are unambiguous hard leakage. In contrast, the phrase 'tendency to change' consists of generic English words that naturally describe the physical state of a balanced seesaw. While this phrase is also present in the source text, its use here is a valid structural translation into the vocabulary of the target domain, qualifying it as soft resemblance."
10,finance,"Venture Capital Funding Rounds: Startups raise capital in stages — seed, Series ",A traveling theater troupe recruiting patrons to fund increasingly grand performances,NO,,No source-domain vocabulary detected.,YES,dilution; liquidated,"The output explicitly uses the term 'dilution', which is specific technical jargon from the venture capital source domain referring to the reduction of ownership percentage. It also uses the word 'liquidated', which is directly derived from 'liquidation event', another key technical term from the source.",NONE,,,Original: NO leakage,HARD,dilution,liquidated,"'Dilution' is a specific technical term from venture capital referring to the reduction of equity percentage. While the concept of patrons' influence being 'diluted' is a valid structural parallel, the word itself is jargon imported from the source with no natural place in the target domain. Conversely, 'liquidated' is a more general business term meaning 'to convert assets into cash'. It is entirely natural for a theater troupe (a business-like entity) to sell its props and costumes if it disbands, so this word fits the target domain and is a soft resemblance."
11,biology,mRNA Vaccine Mechanism: Synthetic mRNA encoding a viral spike protein is encapsu,A town crier distributing wanted posters so the sheriff's deputies can recognize an outlaw,NO,,No source-domain vocabulary detected.,YES,translates; degrades; processing unit,"The output contains words directly from, or closely associated with, the source domain. The source states 'ribosomes translate the mRNA' and the metaphor uses 'Literate Townsfolk...translates it'. The source states 'The mRNA degrades' and the metaphor says the information 'degrades over time'. Additionally, 'processing unit', while not in the source text, is a technical term for the ribosome's function, leaking the technical concept rather than using a purely metaphorical term.",NONE,,,Original: NO leakage,HARD,processing unit,translates; degrades,"The words 'translates' and 'degrades' are common English vocabulary with natural meanings in both the source and target domains (e.g., translating a message, a poster degrading over time). Therefore, they are soft resemblances. However, 'processing unit' is a technical term, likely from a computational analogy for the ribosome, which has no natural place in the target metaphor of a pre-industrial town. This is an unambiguous anachronism and constitutes a HARD leakage."
